,TRM,RLS,TRHS
0,0.01781,0.057496,0.049113
1,0.017646,0.078406,0.056311
2,0.020647,0.089341,0.089076
3,0.022365,0.218511,0.129182
4,0.032487,0.433759,0.367013
5,0.988134,1.510669,1.370448
6,2.379536,3.020625,2.628472
7,3.368382,4.286245,4.070263
8,4.578873,5.854255,5.436837
