,TRM,RLS,TRHS,GHS,LR
0.2,19972.019346015768,19638.908662087808,19422.97501561456,19352.850969468614,19352.850969468614
0.25,29382.455697125428,27288.38064172249,27277.80455624866,27277.80455624866,27277.80455624866
0.3333333333333333,27616.712521932946,27738.83948778023,27222.080437506545,27120.176466972433,27120.176466972433
0.5,55201.622726987116,52855.223507467585,51961.15415023664,51626.069275474474,51472.57557174722
1.0,123057.98471271228,111473.58578385292,109261.60954406687,109075.75331942261,107276.16115800275
2.0,271493.3143984624,265924.1997975684,263710.1165132488,263555.47595812863,255982.14251114606
3.0,364529.38297467254,359089.1187636478,355904.18329831224,355486.3545198014,355236.76924694446
4.0,445173.86799576547,424209.8882147139,436925.8467016542,437894.8955461679,426768.223362958
5.0,519375.6238277311,506788.4746851652,514478.97440602526,512655.25762858224,511591.0818544284
