,TRM,RLS,TRHS
0.2,10480.245242793093,11950.254101308676,9479.694320403994
0.25,10270.664319667376,9588.664959461163,9884.893343560962
0.3333333333333333,21010.473942129738,20143.58970135978,20143.58970135978
0.5,40975.75205738714,40504.05195213528,39639.478461333834
1.0,98608.75563916657,97695.01586509155,95195.47264956326
2.0,156336.44969087405,151905.7177325961,156297.00944449552
3.0,218213.560058694,217027.82590095754,217518.10180749535
4.0,320532.7639545922,321922.4172960191,320430.4420799301
5.0,396154.1301794321,390089.9009520704,393984.75527545967
