,TRM,RLS,TRHS
0.2,17038.25690857302,20544.87587483702,16234.16042221773
0.25,22831.897775186924,18811.09207495574,18636.09306835287
0.3333333333333333,31151.00211179814,29102.39984105528,25501.872568406798
0.5,49899.37422323384,47717.25079529022,47318.30957512584
1.0,117146.93003696602,114999.40918375844,115066.48140246903
2.0,192878.0485136708,191249.92939222546,191539.17552541918
3.0,258963.0546674701,258469.36905341398,258348.19167270555
4.0,339510.44858971913,340192.08313976356,337912.45263684227
5.0,443574.20649809623,439541.5250093713,441645.6425418694
