,TRM,RLS,TRHS,GHS,LR
0.2,23721.93706756617,22214.630601763714,22214.630601763714,22225.078636582686,22214.630601763714
0.25,49316.01100690103,49917.457471199734,48986.615007991066,48515.18164778976,48515.18164778976
0.3333333333333333,39871.640928509456,38695.1764689428,38410.82132118109,38373.24496752681,38252.02348854824
0.5,79601.21480788302,76308.79634454122,74197.57315095708,74397.80290542562,73908.22959287472
1.0,188623.1141321549,177506.30513401062,177454.25102093964,178134.40291115624,175244.1153643896
2.0,347471.49313922593,340052.00219703885,338461.9738555503,346900.3456096635,334014.7580801865
3.0,477930.3165762642,467045.2630300989,474726.3604067275,472034.7736516196,466743.3283254519
4.0,605642.7276399853,597915.7980961063,594944.915572542,596070.6659234661,588279.3053468938
5.0,780791.8926133264,771464.9767472127,776699.3230356356,770985.3968505014,768864.4061487975
