,TRM,RLS,TRHS,GHS,LR
0.2,24471.157152457024,25693.720662629356,23865.276746277348,23675.992359665048,23675.992359665048
0.25,26594.928022971402,26783.659895383153,25082.02944323552,25082.02944323552,25082.02944323552
0.3333333333333333,31650.02099964679,29401.526597746444,30249.260875177813,29401.526597746444,29401.526597746444
0.5,74511.89304734592,75836.68124288824,71569.4752351389,71569.4752351389,71569.4752351389
1.0,141204.94533248176,136690.7154393134,134652.34560641265,134715.09665683366,133595.10001836935
2.0,232007.37642004626,226640.4339213778,226445.52077363073,226381.45559103717,221512.8101456901
3.0,412095.5395795657,408889.04066961975,407690.2019407949,408651.84153662244,405684.1890266081
4.0,444100.69355052704,440360.7209117743,441613.76052141073,440431.63049591915,437162.45830809505
5.0,614493.4961524355,611698.3108974902,608978.291914607,608612.3001057287,605039.257846744
