,TRM,RLS,TRHS,GHS,LR
0.2,23498.66592285316,21065.354509812758,21070.78900621367,20998.312654993653,20998.312654993653
0.25,26568.838682290923,25384.252367322293,25990.5737026481,25384.252367322293,25384.252367322293
0.3333333333333333,31708.68045676376,28904.847740333043,28501.335356435495,27696.801200083784,27696.801200083784
0.5,127454.221368265,124391.92080355382,124391.92080355382,124466.52582107461,124320.05753008799
1.0,188450.68214798527,180114.27832159094,180452.2807549682,180594.0926113119,179049.56730278904
2.0,336411.78481933934,328504.7653227871,331334.5137450182,329691.05977632914,327290.04103853955
3.0,461146.80578228575,459639.70876536967,457066.8493980855,455707.8582200411,453031.6417364444
4.0,715302.9063236859,711053.375605516,712507.9873889552,707699.3318774386,705215.8541383056
5.0,849139.0268933387,842842.2033913389,850547.9384315254,841571.1706264309,840551.5136565669
