,TRM,RLS,TRHS,GHS,LR
0.2,35626.6007004858,34465.79308682258,33551.797327057764,33551.797327057764,33551.797327057764
0.25,33878.52671098023,29272.98612198666,29142.30584872005,27948.015435991216,27948.015435991216
0.3333333333333333,55106.808451950776,53643.31680055561,50330.94932321968,50525.173264911115,50330.94932321968
0.5,77842.39669937827,77373.74283508395,72664.5216313279,72462.25014880691,72462.25014880691
1.0,179525.73937132847,171326.52015274763,169683.6621161069,168874.64510495745,167511.62327556618
2.0,392562.77565133764,384874.1852030262,386637.3953076583,383804.21886270435,381205.69812755525
3.0,479618.42770618136,470971.95241013775,477691.1623525426,469618.16493135446,471457.1282527215
4.0,711071.0140586486,699942.3457727046,705300.9418688564,700000.3626252415,695671.3898079054
5.0,842625.5952461507,839641.3341393564,841285.2217425785,842859.4547480256,829849.5509545399
