,TRM,RLS,TRHS,GHS,LR
0.2,31159.08661190222,30485.35585106394,29394.417600612564,29212.588918123594,29212.588918123594
0.25,34724.65580185682,34432.20747109353,32656.559699267586,31953.054106736803,31953.054106736803
0.3333333333333333,47728.94050805015,44887.37978940831,44887.37978940831,44804.83670708717,44798.10300668329
0.5,74456.14301700039,73592.02418676646,72424.95587744797,72246.56464062037,72070.55264900149
1.0,164757.06607892693,155282.73990244875,152281.2731049509,151592.538567713,151301.28678296885
2.0,355332.10114763805,354234.9899432596,347606.5684806832,349428.2052920936,344389.5323747668
3.0,496029.8445517848,489369.2709175445,488062.84511746594,495608.8463698108,481996.1941079278
4.0,638322.1870848896,628039.2139629023,628628.8342441989,623439.1562677103,612129.813340253
5.0,715215.2342259513,713596.18989281,709769.5694484053,712580.6675768683,701767.3333878064
