,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,680841.8808098882,676928.8609311157,677256.7093247111,677756.4116087721,677166.0891597522
1,550040.8412336212,542459.387631635,548792.5275494438,547531.5921082582,547974.723945898
2,415492.0430171616,404391.83844261226,410011.3897193439,408306.36234408856,408986.5641640517
3,276834.72628204327,267014.2684741725,272012.75307775656,268462.0961031073,273763.8119226392
4,156275.23520995642,148742.15710536786,149608.50785371225,149144.64845873218,149241.63738162324
