,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,461915.39393798285,455020.81034937623,458268.8069305616,459400.6989639042,457943.28009475366
1,334103.2485384307,330749.16726443375,331475.66247806017,331953.4183206125,330250.216346344
2,296746.2820236029,292214.92598192324,294499.9437543715,292842.8337948132,293770.5020035156
3,221994.3720559973,216526.57243997903,218076.5338101634,218035.99236760146,217311.3791099215
4,117600.03771022262,113680.69712586253,113673.1174960531,114209.7514222175,114199.26507529142
