,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,0.230663,61.299614,3.015511,92.659507,1.899048
1,0.166546,48.466582,3.071191,76.414905,2.960952
2,0.106773,29.939318,1.771897,51.061281,1.160801
3,0.065506,18.442686,2.841602,36.198933,1.935504
4,0.047667,8.874078,0.852926,28.755665,0.61282
