,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,560485.7332379963,555917.0523755372,554961.3717035364,555917.0523755372,557477.8066622476
1,472928.73649566533,469895.56034682697,470032.4824300631,468469.9346431023,467964.4440744086
2,357880.8610472692,347960.5117598015,360942.4786117186,351711.2949319413,356392.8174298608
3,237713.9531936821,231504.49402134278,228625.81679045895,236315.90415291203,235419.81661698868
4,123198.99163786902,121750.29074693247,117991.35963029592,118595.11393205836,118905.28513288993
