,TRM,RLS,TRHS,GHS,LR
0.2,29811.432817594326,28752.359274645307,28752.359274645307,28752.359274645307,28752.359274645307
0.25,23487.041408421042,24609.899544691,22632.078288187007,22632.078288187007,22632.078288187007
0.3333333333333333,50151.88483795719,49935.03063716137,48574.81943999771,48799.23222894703,48574.81943999771
0.5,87391.80804899939,86867.47834092437,85170.71090833275,85074.23848998756,84935.07264967856
1.0,154102.19537265517,150456.5160142695,148822.26016480476,148388.30671849812,147808.2235884581
2.0,368422.475786406,360180.00509753445,364264.69574333425,372800.6013844276,361942.667177322
3.0,503952.0446988211,512904.5473191723,513051.27925954404,511678.0693348661,509499.3227217454
4.0,641748.0940022768,629627.5070839567,637256.2873557131,631897.848079919,629635.6435180373
5.0,718093.6493709439,707760.5249981523,713823.2958045907,715913.2521965633,708333.9027420356
