,TRM,RLS,TRHS,GHS,LR
0,0.030007,0.075978,0.066975,5.997212,2.201802
1,0.020573,0.156431,0.12999,15.55263,2.952297
2,0.018424,0.188649,0.150018,15.948693,4.132172
3,0.034029,0.228481,0.261443,16.938007,7.360235
4,0.052975,0.499737,0.56972,20.014032,20.639176
5,1.199233,6.774706,6.037824,150.541865,47.901555
6,1.827331,13.128397,9.402941,275.711933,79.150267
7,2.703393,20.91035,14.506125,430.785813,120.321074
8,3.628727,22.647155,18.8342,540.585426,167.071687
