,TRM,RLS,TRHS,GHS,LR
0.2,22830.844544326017,26135.082396553797,20757.399288881206,26496.699271855905,20705.957057146206
0.25,31496.23806572727,28477.763192034705,28524.33371253604,29745.05201959076,28477.763192034705
0.3333333333333333,68308.01479910515,52318.72252962593,52488.84469405596,53370.61623327747,51249.626277151096
0.5,100945.35705011549,93595.0116233114,91880.87827145355,94848.70604808682,91486.08092739279
1.0,208462.36455313917,205375.3013703701,205920.93046759497,207565.05772232002,201679.5026058241
2.0,387349.8456488309,385182.8510226316,383396.06908423617,381743.5462064625,380750.8621960835
3.0,519430.44408343424,528380.9838620507,516590.1884436028,494840.32841924095,515317.2442592359
4.0,734709.922226042,718036.8968197491,730975.9896607845,727471.8217269789,718014.4844057737
5.0,825689.6781963039,812686.4350450471,825413.7298142092,823019.8759363104,819767.6113815623
