,TRM,RLS,TRHS
0.2,29479.810066336526,32809.73807782271,26698.296234596997
0.25,40713.18990054002,39232.00648056693,38394.12332517223
0.3333333333333333,49655.15587401245,50495.63236684069,45809.80832428954
0.5,90502.42553669642,87153.26593418016,81774.88758230642
1.0,194069.07927721433,184206.29539991653,179353.25566548566
2.0,327262.1951097753,318677.37916186254,316931.5326551944
3.0,547495.2791990585,545632.5809527719,543213.3203418195
4.0,585563.0930168391,580621.7369441692,581189.8801642718
5.0,756072.3799900742,754057.3767223639,752270.6478423396
