,TRM,RLS,TRHS,GHS,LR
0.2,56050.783701594286,51478.87243021558,51389.258853566345,52268.357340141214,51389.258853566345
0.25,44101.88478649783,45533.114010930985,39975.17327525533,43513.967727900665,39939.76769201584
0.3333333333333333,89450.5416606916,83351.77312609616,83992.24820206808,86373.96904879557,83351.77312609616
0.5,93516.60380211889,85365.64164521985,83856.815751189,85767.42309029073,83570.43620713141
1.0,243928.20218474936,237655.39480001313,237074.02036278183,238239.79320253688,236987.7372641184
2.0,430302.66679714684,419040.59884073434,424290.41020662064,421076.6939646718,416776.821944969
3.0,597777.8846171709,575404.1365911001,590135.3115823825,578120.7004356774,569574.9779436174
4.0,785102.421387776,765542.676960447,782966.5021304856,770540.6018171026,774845.0974428542
5.0,912068.9913594252,891707.1900812447,901520.4806050878,903664.5382931479,892540.7939773388
