,TRM,RLS,TRHS,GHS,LR
0.2,31835.68376215613,33051.691150985935,29746.221751301575,33331.736486612426,29400.68641849467
0.25,42041.32429106709,40109.76072902973,40234.849240136085,42616.67272277727,39811.93081812696
0.3333333333333333,52770.987242231706,51570.041542797844,51036.26797078569,51919.66236827021,49860.171506994026
0.5,91603.52023774263,85261.50318365569,84612.12718237872,85463.22156226114,83711.20991196588
1.0,218412.80606012477,215381.58045601033,215608.13560842688,216477.32559278308,208660.53472769185
2.0,347622.8039726446,344266.49383600766,344049.48830209783,345552.74896156014,341800.46038876066
3.0,492521.51984871924,489427.29019264947,491205.2706222665,486133.08497793425,488776.2182516996
4.0,632819.0982662869,626449.183897238,631462.0063206817,628063.6424275083,623837.8683897259
5.0,776420.5496059754,771510.4616120037,775431.3699541229,771042.5302765311,769362.8938087858
