,TRM,RLS,TRHS,GHS,LR
0.2,32007.52747258001,28722.04839153553,28700.681210312934,29569.040826343462,28586.82394313388
0.25,35579.684738680546,33229.43163739393,33229.43163739393,33554.41965624229,33180.35329891564
0.3333333333333333,66074.36524594037,64001.03560221246,64001.03560221246,64505.45108352216,63111.2331556268
0.5,83211.18832513789,81273.89898418187,79455.78929956882,85271.15596919575,78248.54044059322
1.0,189124.0073907418,186450.7839712009,187339.9173820427,188880.69873984513,185730.9990402167
2.0,330604.5858011051,330520.6135298872,328948.8958365386,328209.699464698,327808.4741939494
3.0,469629.7827463537,468198.7033518219,467191.8967330466,467180.9554500846,464971.51549728226
4.0,579246.3179163475,572674.1219710673,577848.7941872033,573431.013203068,571879.3337529203
5.0,744700.2193431287,742378.603841621,742202.6771356601,745063.9017678968,738887.9061847571
