,TRM,RLS,TRHS,GHS,LR
0.2,47241.20194061366,43528.580088703755,42768.98494964402,42167.010399182975,42167.010399182975
0.25,45262.94244937275,44511.29274791484,42001.975512104305,41389.26526803566,41389.26526803566
0.3333333333333333,77885.3147223238,89069.27203906608,73990.68958771887,74183.30132236578,73908.66903126358
0.5,130237.59170570609,125118.42383106126,124573.76279681434,125988.46515768656,124221.59424662469
1.0,280131.16565304575,270832.431490795,272541.2902412576,271205.37897968414,270803.6443870549
2.0,422051.5890351364,416708.3354985244,411482.3167108844,410214.9503916097,406391.6015391708
3.0,618689.9227980749,608480.8282707101,616071.7448280882,617620.579018437,608398.4819807193
4.0,782389.3587441678,775707.8784919551,777058.289888252,771390.1062814066,772858.5501067089
5.0,1065843.1751894027,1050417.152873713,1063408.0786294765,1055410.2645815718,1047536.5456294948
