,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,533590.7774149115,529607.5938034705,531174.0027968041,535796.3815189464,531524.0976110626
1,406454.7708741914,400833.7833642927,404204.0211415882,407062.9853776895,404859.29122703953
2,320284.3173560154,317752.72776381485,322250.6896381131,320944.5518390327,318825.1452895795
3,254594.94279480548,254792.59511273672,256170.16858549634,255037.82606053218,254118.48189710395
4,124136.33872638857,121915.24747560782,128850.19807446776,123416.0018752378,122267.59391029616
