,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,464513.61286984757,458994.51216874167,458388.75816058833,458145.57065607747,461078.5998383983
1,373996.5219204257,370885.89713540603,371700.23907519376,370831.7234596786,370885.89713540603
2,290027.494506504,285696.96266079176,287044.86915686954,289571.2700868955,287139.6150724571
3,207722.3863139952,202883.59781395184,203665.91802316572,205670.14964440826,204484.80350868995
4,100943.49334343609,97720.4559205397,98225.80590907884,97905.49835753455,98170.85376323463
