,TRM,RLS,TRHS,GHS,LR
0.2,23126.975673523673,21182.468795757562,20617.899450837936,21466.370609206915,20613.780670405817
0.25,42023.95937561477,43950.77818838602,40389.014479206206,45522.02561184321,39584.367659045085
0.3333333333333333,69419.19353994135,72073.02009879446,67024.66642336122,69847.64492196527,66710.56497302382
0.5,99828.21675509523,98398.87117675795,96711.04771787541,98755.81296418788,95912.22209448997
1.0,210792.17383310146,208450.08555926406,207354.66298301864,207679.33859827288,203749.1508770465
2.0,358203.6044760067,356915.9799404175,355333.5378117832,339327.4949274237,349826.91156962607
3.0,485040.621969038,475906.158144578,481807.4070767427,479819.82483628864,478117.239531702
4.0,613446.154735004,606872.8256205181,610011.86047398,602344.992906572,604306.2752760439
5.0,754949.2915881464,751687.9403186252,750716.3112289724,748339.0602593229,749565.9726299437
