,TRM,RLS,TRHS,GHS,LR
0.2,17304.18541870204,16958.37733187824,16693.343659892485,16693.343659892485,16693.343659892485
0.25,27158.429931252038,27278.34685036848,26154.765704695536,25987.61702367853,25987.61702367853
0.3333333333333333,48942.61363942111,48510.38575294839,47153.47719973816,47133.29100485402,47128.43884025991
0.5,58656.65318045678,57386.3544202865,55758.75749447644,56138.436794580106,55758.75749447644
1.0,138809.2881337786,133608.53907565767,133490.14757272505,133520.5830970948,132801.09322826596
2.0,263887.80816115957,256331.9196351964,257399.6964228252,252539.64315267417,242640.5241306104
3.0,403201.96661513386,390856.6018279673,400381.1313105737,404207.97631326254,394519.1904961828
4.0,457046.86325793836,451968.8337787022,454032.27135056653,451878.25615303504,444291.6546939826
5.0,570806.3280004185,566290.9561652485,568233.3414178591,570518.9698904852,562055.6833734887
