,TRM,RLS,TRHS,GHS,LR
0.2,40521.20937549778,38457.88724857154,38773.09793724904,41565.636510842705,38457.88724857154
0.25,59729.89240409687,56444.47338419361,56444.47338419361,58852.96523994931,56444.47338419361
0.3333333333333333,73428.36626434195,71091.05792460758,70639.31923761981,74602.39505922666,70514.21124842165
0.5,89470.89140861803,90528.87642349879,86758.96486404576,91639.61226401657,86608.20991979497
1.0,269324.92681594816,264262.00094842224,264141.0176792371,266969.8060157602,263836.2131772046
2.0,428999.0668801045,423676.66391573305,424582.1572583311,404030.4331849648,420578.1739404414
3.0,658810.8056069964,648559.1210119516,647534.777439109,649267.2246153115,647044.4745113034
4.0,795194.1665715363,786760.5294725163,789626.370029945,784857.2249531581,778902.2300027712
5.0,933173.6906911958,927973.2403009951,929858.3900494997,930581.9947367472,924070.3073714159
