,TRM,RLS,TRHS,GHS,LR
0.2,30315.517899948136,29679.88878076083,27892.72093843371,32856.00554448376,27892.72093843371
0.25,42943.587522134185,40842.37808573836,41163.09355557403,43651.926972823756,40753.41056658098
0.3333333333333333,49729.059392546165,48675.52389842931,48104.751565304316,49423.03940734823,48104.751565304316
0.5,89536.27142452984,86392.6894367867,86603.12155286192,88171.39895326797,85841.6846059791
1.0,233672.21287858335,233211.9959434815,233204.1559617762,234462.55529019117,232235.72857567744
2.0,353862.7321908684,345738.3396030568,348551.4668091062,342918.9493201276,342337.9405795428
3.0,570593.7329336929,568719.0582729614,569963.5387002361,566635.7028315677,565627.2016341973
4.0,677590.7632814847,677202.9651443623,676423.6645911885,677633.8077692856,675078.9840906316
5.0,840738.1787345745,836765.7431880691,836418.5957051336,839058.9515727339,836478.4909253218
