,TRM,RLS,TRHS,GHS,LR
0.2,26342.27279439513,26187.069179902042,25958.17021952127,25488.10046417346,25486.154863728436
0.25,29860.822109579913,29898.322635093635,28491.76166865699,28491.76166865699,28491.76166865699
0.3333333333333333,28158.320532857484,26272.84227886947,26942.48737726743,26272.84227886947,26220.51711671176
0.5,47782.61701542827,45316.17520390284,45316.17520390284,45316.17520390284,45316.17520390284
1.0,105093.69949406377,98979.90483097728,99011.7449155195,99011.8258098117,98425.42001275305
2.0,241486.9312741325,236335.3937197848,238119.82154124608,237756.98088958865,232783.45224923227
3.0,332914.31178740534,326955.17064747214,328254.28873569064,326075.3639370248,324400.72083979455
4.0,436682.8930226098,428807.3648653365,431851.228701658,431169.34819932707,422304.61867673934
5.0,534674.6584232914,533791.6789090228,533592.7726818186,533958.8839201347,530801.7059812594
