,TRM,RLS,TRHS,GHS,LR
0.2,36813.8385223576,36234.23343013244,35294.905101410994,35154.94650816266,35154.94650816266
0.25,47186.49957278545,46752.437540583225,45148.05217610927,45031.03111525896,45031.03111525896
0.3333333333333333,60791.13435424767,58992.05537378204,57164.27538965022,57429.40943189286,56731.37617469685
0.5,89849.74815868336,90022.57792440105,86548.93838843452,86270.31391806023,86241.185723193
1.0,236000.54331129292,228108.32678987793,226781.34158038892,226869.21075396508,225821.8544219113
2.0,454144.36612161074,443304.5434546161,445345.6971872244,445699.1352349961,443369.0570332092
3.0,601881.5773036849,591141.6348687059,598498.5160950341,591544.9130557829,589186.8845798302
4.0,773506.4764736565,770807.2689920223,772575.5262541356,776081.4364820954,767886.9250328979
5.0,925419.5453667621,917333.7165807692,923942.8592038098,922827.5524622841,917374.0415515244
