,TRM,RLS,TRHS,GHS,LR
0.2,18008.248924503234,18843.116654926835,17387.969455159473,16970.07240728334,16970.07240728334
0.25,22658.982976786447,21778.09621110498,21778.09621110498,21778.09621110498,21778.09621110498
0.3333333333333333,82457.18331691265,81500.9968605461,81500.9968605461,81396.49145249216,81396.49145249216
0.5,54389.83297398244,55066.241127079025,53375.47191193697,53559.71856219885,53123.6952775038
1.0,99473.29014803196,92300.45399454,92320.23386091068,92006.53950968847,91886.74804077018
2.0,233727.42632749677,240779.42501007754,230371.47592903563,241130.08662803433,238034.17321945794
3.0,403078.9514913822,392310.55008270906,402027.1964437219,396440.2853309028,390422.06309545354
4.0,543791.3507593856,539523.9668971263,540789.3100345364,552530.2791608421,540262.6934213674
5.0,596904.410352793,591414.7213173988,595810.8931751294,598245.2150319866,592358.6666800653
