,TRM,RLS,TRHS,GHS,LR
0.2,4827.368327743202,4827.368327743202,4827.368327743202,4827.368327743202,4827.368327743202
0.25,3984.0232334548864,3984.0232334548864,3984.0232334548864,3984.0232334548864,3984.0232334548864
0.3333333333333333,7211.769748939132,7179.149189941604,7179.149189941604,7179.149189941604,7179.149189941604
0.5,8687.038660349923,8687.038660349923,8687.038660349923,8687.038660349923,8687.038660349923
1.0,28413.385323115428,26855.78128437213,26855.78128437213,26855.78128437213,26855.78128437213
2.0,43654.07493989833,42531.47203998371,43654.07493989833,43654.07493989833,44691.498109617845
3.0,68835.60978534406,68835.60978534406,68835.60978534406,68835.60978534406,68835.60978534406
4.0,94470.29232535503,94470.29232535503,94470.29232535503,94470.29232535503,93868.29459358095
5.0,128863.2368885055,128928.97472351328,128308.49888766666,128308.49888766666,128308.49888766666
