,TRM,RLS,TRHS,GHS,LR
0.2,33129.64893869803,34833.23861972704,33129.64893869803,42382.68722230226,32880.54260217795
0.25,26150.562555576693,26873.56475978955,25148.81671784268,27368.06814144375,25148.81671784268
0.3333333333333333,48252.04554883631,47738.135152384886,47196.45063568991,50032.201658639875,46777.964768690115
0.5,68487.75094012402,68786.66544085523,66467.07719377137,74167.11329655393,66467.07719377137
1.0,173609.84409147777,170337.96382723167,170776.79720206087,175184.94761645797,170337.96382723167
2.0,313058.0636118232,303659.11368975963,305943.68617795175,303508.20270400005,305665.80602053675
3.0,423640.37995315547,419107.4481391141,421525.98433842236,415541.71148658526,414578.1077446607
4.0,546495.0962230384,545637.4101616637,542052.0580461038,544645.1101363521,540552.9849594537
5.0,713758.2689907543,706246.8936507026,711339.2649191841,700302.4182039788,710062.2027671547
