,TRM,RLS,TRHS,GHS,LR
0,0.029009,0.090971,0.107951,14.862761,2.171258
1,0.030005,0.084974,0.135938,15.209653,2.616852
2,0.031997,0.146934,0.117959,15.737973,3.92615
3,0.037946,0.166941,0.2269,16.662181,6.36018
4,0.054976,0.384741,0.512779,19.425144,18.158711
5,0.888723,6.458336,6.732174,144.394207,43.847618
6,2.039773,16.143056,10.937476,261.599685,75.550935
7,2.767635,14.109355,16.646764,383.530377,115.528723
8,3.508946,22.085163,13.865811,503.195901,156.133691
