,TRM,RLS,TRHS,GHS,LR
0.2,36067.31897859594,41442.50838103029,35605.715034727546,41444.707878730886,35603.51553702696
0.25,59398.44187426878,55736.80482636489,57284.84908218648,59521.36741751143,55207.62786318063
0.3333333333333333,72096.25475131797,62545.54912105559,62545.54912105559,63053.34194680452,61918.05065013659
0.5,97119.08535000164,77959.99967303216,78395.79154466257,86844.4758479084,77959.99967303216
1.0,306840.1929082544,303951.9024959157,304747.5268601892,304519.1702896032,303951.9024959157
2.0,450908.6758565451,444419.2524172028,445180.6454896981,443219.62825898774,442159.0026976994
3.0,602025.4607047704,595308.7670367995,599460.3963695004,598393.2214647819,594165.6642669261
4.0,763042.3571128481,763595.4623544618,763042.3571128481,767276.9917723597,764163.6357820175
5.0,967611.6542856251,965919.820543374,966550.4613165406,966763.654075718,963986.3543224703
