,TRM,RLS,TRHS,GHS,LR
0.2,53831.28337642719,51544.86597932231,51989.44357690321,53508.124459121515,51491.3895124255
0.25,71808.16558522917,71085.22278687471,70374.01785605303,76434.24183491731,70374.01785605303
0.3333333333333333,63500.481291497104,64593.058940802555,59419.29980720199,66854.57042849867,59353.92450214299
0.5,90927.93580607041,88941.79291864508,88984.34716005324,90219.05880876239,87854.98577592261
1.0,233562.39181967394,229758.96279397383,230143.42721012223,231139.86665863096,224125.40891138636
2.0,633297.3979486533,629747.0949712725,629233.529770464,627307.4122373163,628012.4682751993
3.0,794414.8622439172,792528.5768887522,792522.9602457033,791576.7345084628,787821.4916355371
4.0,944677.2481132386,939640.4528520018,944653.7178196799,932717.9625901473,942158.7121459624
5.0,1127212.01335021,1124539.8106444515,1125595.2403698743,1124245.4425521714,1119443.5462992403
