,TRM,RLS,TRHS,GHS,LR
0.2,53954.751277445066,53844.63717371862,53612.6156969259,54341.62769087891,53612.6156969259
0.25,51309.48527238623,50989.42813909558,50595.72253220983,53594.00673944983,50481.19694701022
0.3333333333333333,41271.47349752841,39659.18454658713,40204.86785833245,40475.493415960416,39374.27063271842
0.5,61361.42016623112,60331.6749788925,58171.92936798697,62027.15146767548,58171.92936798697
1.0,201346.64157947892,197580.51765179413,195695.57018811177,198900.4881942896,195043.69064883946
2.0,392099.025010866,383929.60178407404,385992.9549155779,380976.0262743811,381426.72067055735
3.0,519381.8035143527,509959.58347493317,513200.86335514596,512193.4927435433,508194.526883403
4.0,664491.6044195379,653170.5077835835,660362.7498452229,655729.0689069659,657797.3836788848
5.0,789939.4687456324,780551.1780202013,785241.8317227003,780140.17248454,781882.9220099295
