,TRM,RLS,TRHS,GHS,LR
0.2,28423.114775921138,24316.48674469538,24316.48674469538,25092.929483797903,24316.48674469538
0.25,48395.264023538504,43234.51897986523,42604.17806773583,44732.08646916464,42566.4323399843
0.3333333333333333,59524.34224467619,55188.18252320886,54745.48906492641,55283.727350440015,54260.544032247686
0.5,84119.17571730445,71793.13704327877,71464.29085073032,73794.44699029841,71308.1505237322
1.0,234476.79133366814,220564.84809142334,221253.61412104327,222311.75997131743,217701.94330989718
2.0,360375.55339677085,350668.95794604794,355208.9675954562,325174.2954526718,349386.6087886254
3.0,547595.4937647918,539151.6007399181,539905.8432728825,541501.5933842747,537719.2534215121
4.0,583162.5415629774,581362.9497935164,579932.0563868791,576771.8267930266,574177.0398567689
5.0,788634.6536622987,774764.7763050396,783600.877035798,776179.6625034566,774284.0923607242
