,TRM,RLS,TRHS,GHS,LR
0.2,59897.59978730288,58903.75848777406,55265.13984279787,67087.6833330987,55051.95163549966
0.25,56962.66509498107,54404.873890338764,51966.430107848115,53784.48108847631,51174.50573522546
0.3333333333333333,71763.28339411755,65329.308256127595,65514.36927213673,68606.60302992623,64649.51174630493
0.5,105650.12440239674,96409.51932093303,95931.39956058374,103148.89846396065,95205.49542286215
1.0,310224.3606583412,304412.64911958436,304523.1473058088,305843.58773360087,302484.8140695823
2.0,471071.6544796928,451349.5263998792,457176.56089887535,463311.9267997485,450703.33326531126
3.0,774500.6652235112,767129.3523406149,766007.3162883975,764663.6141410741,764082.6975432908
4.0,937900.8994601832,944204.0456023038,934007.1434098645,914772.908798334,933207.37855461
5.0,1057592.776407373,1050253.9623529466,1052829.6210911279,1044392.3052335852,1045972.0654084027
