,TRM,RLS,TRHS,GHS,LR
0.2,34569.13367226697,31493.041287499567,30580.148332111763,32932.66734781475,30449.729023642856
0.25,54509.84588299479,51416.21770170722,50685.70712379192,53255.58535820808,50441.30009828167
0.3333333333333333,88566.95598997243,79822.39766060472,80873.37554698795,83433.2668427668,79252.17137933326
0.5,95033.953538667,91379.55684780583,91521.17607674784,94396.29037892215,90185.94763415949
1.0,271905.7710865412,266686.8021089552,266596.9486112745,268061.32676112204,266245.72459483985
2.0,417146.46175511717,404406.98414144013,408791.5699092594,409742.1553631192,404551.0370061417
3.0,579214.3182122607,573074.2271105464,572594.9053695354,572826.5239191868,571385.4560848615
4.0,764293.670386723,766298.6062101092,760258.1552964229,757646.6535810527,760562.9400600259
5.0,1010271.3439351526,996106.9451773472,1001465.8077290559,1000055.5032681896,987229.0334011308
