,TRM,RLS,TRHS
0,0.03592,0.097771,0.114099
1,0.042028,0.204026,0.179884
2,0.10632,0.435403,0.319616
3,0.071381,0.501742,0.378763
4,0.079794,1.321903,0.811093
5,1.617394,2.898465,2.411604
6,4.976327,6.684617,6.359881
7,10.122684,11.081637,9.347398
8,12.881951,12.588059,12.738831
