,TRM,RLS,TRHS,GHS,LR
0.2,47722.07034530334,44172.20348850848,44374.291041234224,47782.20677324455,44172.20348850848
0.25,29241.465206539095,28524.75259226505,26995.41582161858,28659.233705975334,26911.110283601567
0.3333333333333333,55830.06869587884,52334.167216256414,52041.500801169765,55102.94255217322,51811.48800599351
0.5,87283.4149309369,83391.3888701287,83818.37410750349,93915.81408262116,82833.5413531786
1.0,260542.28621703328,256081.8186724214,255047.32478043105,257142.84843486492,254142.47765006317
2.0,406146.1258680669,404557.223926834,400963.26392545394,402246.96327574656,401947.9564960231
3.0,552367.2189562009,548175.989301996,549964.5575620803,545801.9824546926,540535.995966393
4.0,662687.9154991,650396.2428292535,659884.1047515096,651246.9108619541,650915.8861008697
5.0,875989.0978955057,871971.0238983838,873180.041509814,871286.711906103,869700.0507428367
