,TRM,RLS,TRHS,GHS,LR
0.2,34797.26280711854,32877.326132391725,33260.52946353353,35573.54196235184,32365.728266294333
0.25,55273.783727967755,50702.67572533801,50145.810793359604,52446.70600649764,49851.539363511976
0.3333333333333333,78703.60618300518,77596.81027917845,76661.26123936116,79379.4912235139,76154.11993510326
0.5,143506.3641840322,136784.7489882312,136269.00462625507,139178.02317188177,136035.3275019986
1.0,241683.49451076813,236649.7774296098,235190.2311311834,237271.73079548858,232660.2986068837
2.0,435787.0911956265,430394.0869409046,432975.46297895926,423482.7956953705,425590.44484667183
3.0,683503.740578839,673114.0366595553,678715.4634941953,671940.4041922687,669392.0924521087
4.0,685032.6274576602,681104.6858110223,682915.7211305418,678826.2635567687,677004.7202858187
5.0,1010107.3060436472,1008022.4037958897,1008556.7546600874,1005879.1066792954,1002913.674808643
