,TRM,RLS,TRHS,GHS,LR
0.2,28879.859855772334,26651.211777587232,26655.67618839514,29818.206642050143,26639.32247530358
0.25,53675.53636174377,51996.63099997632,51992.10460113968,52456.13650459277,50952.601476611126
0.3333333333333333,62315.026245193774,64827.83668964564,59112.793693187545,64994.725365473125,58944.41071858146
0.5,100288.83199901997,100575.10318495965,94097.02930563278,98378.45528139273,93768.65770439437
1.0,273199.6561592181,267384.3559684855,267532.0640379352,266806.9179993408,266806.9179993408
2.0,443224.69624607766,438657.44887376373,438702.97673897864,403809.61913302785,437807.3032177244
3.0,608736.7314502862,594977.0200630595,603350.3792920953,583794.1456470657,590534.2010444556
4.0,750969.5936188975,728849.3190747248,750385.2274943856,737256.128393772,732906.3468467763
5.0,1023629.7976517341,1018959.8904082323,1017527.423604182,1017451.5480469734,1012050.5168872272
