,TRM,RLS,TRHS,GHS,LR
0.2,27836.994139033253,24817.610565748095,24523.062230282692,25777.831844701042,24523.062230282692
0.25,29781.235970533482,29891.29590948031,28135.0398846466,31057.54707616989,28135.0398846466
0.3333333333333333,40506.76686343521,37212.26825515706,37180.53707907977,41747.09582747598,36781.87780488877
0.5,74931.71551071596,75484.1344711351,71277.43725289499,74548.61439058834,71277.43725289499
1.0,222927.87206797482,221316.6246860898,221336.18749957616,221399.51621825565,219577.10804553016
2.0,323400.6643615458,315506.3944316048,317955.90828423057,315362.10718147864,312820.3709294882
3.0,378492.83358398016,368372.9740301984,373099.8288670381,368907.9974445905,367744.60531325004
4.0,525354.6513445689,519040.0657381088,521620.6407490469,517334.9720706655,515745.63391771156
5.0,704691.57654123,694029.7081039016,698244.3720613789,698406.6053115937,696496.9799991037
