,TRM,RLS,TRHS,GHS,LR
0.2,43390.45896949942,41473.78184825871,41473.78184825871,46121.539244423875,41473.78184825871
0.25,51739.90789807301,45993.018698841544,46377.51389192033,49262.198906868165,45956.52591679305
0.3333333333333333,50382.638637326585,46191.20104774207,47643.9526451133,47372.816636209114,46191.20104774207
0.5,67596.9958228867,63525.996413694986,61769.66666301304,66091.0600378317,61545.5552586268
1.0,223947.0621961898,221977.19949671935,220675.55496557272,222211.39104942218,219741.80467135747
2.0,367460.4139032571,358349.51375822723,361181.1107548518,349634.16052786645,358556.1777278928
3.0,517708.6990627847,513433.4288255237,516219.87270229834,508483.2182504236,511494.3270256674
4.0,660264.6084049828,661134.5511580834,659105.1849690703,653861.3994212585,657153.1978914726
5.0,813047.7942157264,813768.2593991681,811300.6596251433,805286.5584409931,805706.2728665749
