,TRM,RLS,TRHS,GHS,LR
0.2,27587.700334628866,25712.959699269926,25712.959699269926,27045.30534009441,25712.959699269926
0.25,26705.973375127673,25276.77036749811,24143.319961072655,26678.770292507186,24143.319961072655
0.3333333333333333,35455.89550333405,33030.11212589734,32450.9305640721,38002.214446127335,32450.9305640721
0.5,56686.068904566215,51906.73935932126,51906.73935932126,52613.15723768899,51906.73935932126
1.0,140303.3069226456,120443.67010244227,121013.79653772796,122436.18088966794,120356.49142929324
2.0,291124.91204020137,289981.793539872,288277.4933359166,289915.02941406204,280128.49064964574
3.0,425087.245024756,415002.2064585354,422090.008328549,418949.163119695,414461.464853924
4.0,500597.7769244326,492183.62080739706,497964.3837370083,499867.023679932,489605.94979598525
5.0,657675.859557231,646946.9616328581,646886.6850432982,638727.3769386045,646883.0807439195
