,TRM,RLS,TRHS,GHS,LR
0.2,41713.723669335915,40129.70792035354,40136.84361916807,42592.0011292196,40123.71529475578
0.25,50066.51881324134,49738.666749283606,48268.02595272231,49559.39223442206,47436.96877850832
0.3333333333333333,93374.40886400435,91247.3837210751,90070.46068428199,92112.07098626194,89778.24137693938
0.5,121900.44421097173,115421.89222392319,115511.3530653453,118245.21004308668,115039.7538635497
1.0,271613.37269200734,267583.74674393015,267798.0616640311,268171.3761451666,264349.27181230945
2.0,538655.7279861411,529107.7299054185,532437.2010252341,527756.5265391691,526097.1739650477
3.0,889366.6743237977,881888.9534994385,887640.6507295811,884707.0421463313,884481.8039436338
4.0,1092575.3784449461,1086574.1992374777,1091159.1732321165,1089867.3029512914,1086754.55645011
5.0,1117925.9112189666,1116309.5602416745,1116333.3180982952,1116754.1455809444,1112552.6944425756
