,TRM,RLS,TRHS,GHS,LR
0.2,50501.5757824702,48062.30942122094,48062.30942122094,51389.47840404022,47987.36655989157
0.25,37348.893438426945,34947.90856701415,34002.71793734516,36812.4990847353,33348.253665995806
0.3333333333333333,78237.77853151385,73401.5984175526,73781.61617241192,75055.33163208808,72088.12300377894
0.5,85248.31482874439,74088.64209122097,74123.28122761597,76515.3239613849,73740.56956487709
1.0,288011.94278778933,280293.36265906366,280096.57526481873,281086.73382288654,280096.57526481873
2.0,505325.4039170909,499521.1267328872,497139.9766445562,487599.5393444639,495733.588648692
3.0,779050.1660486307,773469.9437796841,771407.9956450916,771311.9862264292,765579.8699472931
4.0,1112671.386182949,1104175.48044579,1108517.158034769,1105074.6971175869,1097804.790052579
5.0,975023.8835083105,968075.5315941888,970787.209579352,964952.6979729171,966514.3019908943
