,TRM,RLS,TRHS,GHS,LR
0.2,28934.1694547301,25991.472988758025,25269.418908326392,28538.89121529807,24405.662377969922
0.25,32548.71843194367,32392.987818855217,31801.827443929567,34845.956427487996,31527.793468897682
0.3333333333333333,59329.2585647078,58005.65899281933,55316.412870887,58800.891938657514,55172.121986118014
0.5,81858.9399891537,79118.78013802634,78865.81997297684,81145.37351903856,77784.99525122737
1.0,189145.93314249115,184563.0151953738,184351.97759053667,187029.4267057891,184339.96860514567
2.0,325919.29519083037,320556.768853189,321535.41536761296,315630.9042649422,319384.9216211986
3.0,481034.8830095518,474050.6567378504,479049.0587553146,474944.94620897155,473392.60356738133
4.0,629115.0648928647,624911.1682058017,627125.6604620621,630856.323051729,628352.5418785505
5.0,820010.1520890616,822363.7149794671,819710.8738017072,813557.101425295,813121.3922962687
