,TRM,RLS,TRHS,GHS,LR
0.2,24691.33629250778,23958.465581518878,22634.822941794104,22549.89677923332,22549.89677923332
0.25,34439.98587635929,33382.12757258837,33220.63467348792,33035.098174638966,32988.58617791259
0.3333333333333333,41385.504391437105,40288.122546479644,39465.68036665391,39519.24395843432,39465.68036665391
0.5,77806.5200067462,75234.9854942078,75195.6600628496,75131.2542100093,74830.4131071986
1.0,150309.04376149105,146543.69378008702,140873.70897895854,140402.09946222356,139844.16883445843
2.0,383113.6210853166,372912.2329929523,373050.93015775393,371490.1754826982,366193.39899841894
3.0,432561.1884846275,429769.54356281826,428505.7424183498,427467.8587536972,422899.4569990587
4.0,576925.8995309375,573135.3342589206,573398.4034963935,574905.3037137258,561869.0852440849
5.0,677105.1586978153,671078.8039254653,674139.1547476333,671688.1924886,664136.3623931046
