,TRM,RLS,TRHS
0,0.011691,0.019364,0.030023
1,0.012249,0.030201,0.035707
2,0.015141,0.069537,0.0602
3,0.020938,0.138266,0.086417
4,0.024508,0.276607,0.288862
5,0.497048,1.152296,0.727307
6,1.609045,1.748306,1.347331
7,1.374698,1.645768,1.590327
8,1.87478,2.714098,2.357785
