,TRM,RLS,TRHS,GHS,LR
0.2,37571.50644011419,35295.59036061984,35295.59036061984,35131.340922546384,35131.340922546384
0.25,31316.092148904696,28365.11365238647,28365.11365238647,27954.44232470278,27954.44232470278
0.3333333333333333,65932.91727935638,62095.06766500347,61597.87797206649,60189.95992409874,60189.95992409874
0.5,77484.91255799407,68836.5182466909,68363.73452083448,66993.1487085009,66651.43605804567
1.0,144543.3138840118,135118.86852460794,134223.4059988973,136223.27944787653,133531.56399797686
2.0,407739.2986599381,386694.952782931,397859.5185364337,400565.59972419596,391695.2681700686
3.0,488103.5381355329,480857.28808961244,482391.53981542966,481879.2969313951,477648.88646592316
4.0,693544.8927595582,694301.1586751903,687745.1875169567,689695.9624273571,686055.4930427414
5.0,873055.8996791242,866603.347549374,867596.3269047327,868881.5648027633,862834.349554824
