,TRM,RLS,TRHS,GHS,LR
0.2,27650.55592438593,22703.555764199922,22715.513493976632,35817.31726186433,22703.555764199922
0.25,31402.14975734301,28912.09097197379,28917.560554859603,30543.231222125116,28504.767321123567
0.3333333333333333,56322.664146373514,49246.14919203435,49922.166320871,56848.70324185514,49090.42629947199
0.5,104562.48957047651,92919.75303769037,92763.32796479095,94248.59460532262,92705.86999629991
1.0,244894.60011141872,237206.64354539156,237454.2067064088,237946.93202968652,228061.19580170815
2.0,438553.5558555452,435074.7438529295,435792.0685924402,418397.1218754277,426984.29823107726
3.0,554283.467419434,547644.1205833799,546030.9965385615,540215.9609681199,537274.2747716055
4.0,704670.965838326,694380.5565427943,700821.9634185205,704310.1919054817,697049.403181863
5.0,822617.9487453233,813415.3457305998,818066.5769264089,812128.4208484512,811457.5747047291
