,TRM,RLS,TRHS,GHS,LR
0.2,30556.55365883016,33069.14147533607,28762.88692832565,38780.16078856142,28762.88692832565
0.25,48064.80222097736,45423.08581848046,45116.449578149026,48970.214244245,45116.449578149026
0.3333333333333333,59104.938423599575,56851.4636588584,56474.747020413924,58762.09821495666,55900.131052831915
0.5,102973.06345128932,100003.80542963847,100392.98457986541,100692.08285111604,99487.59865847086
1.0,283006.50321746396,279752.6290674065,280824.5393820377,281607.38572931965,272266.3299961363
2.0,401312.7846519351,389248.1164068373,397428.33533016965,380405.26388033555,391714.4793659241
3.0,474611.69532473566,466664.90819873015,471938.7487461041,466066.3130607354,465735.598837904
4.0,685046.9935471786,676902.6487277383,682525.8346328969,673617.165766971,678646.8178088887
5.0,819395.9402588059,817515.3702120228,817503.0815143521,811460.6682128335,810633.5960449908
