,TRM,RLS,TRHS,GHS,LR
0.2,30010.27205465232,25510.77002719217,24830.716790275263,26765.619069687906,24828.076511769388
0.25,40704.66941047372,39167.84310200495,37954.65849896391,41722.67864831236,37954.65849896391
0.3333333333333333,62930.65031399814,57187.59047633046,57187.59047633046,58977.1530631034,57033.8278317888
0.5,76489.98377157908,72388.02950734513,72101.28053570406,73934.77440795455,71496.64172145029
1.0,203867.1420965387,198427.4712891497,199853.0732491129,200848.3686537052,197073.475949829
2.0,348946.68502299854,343257.39908039273,344681.2588754892,340697.31211108924,338464.5811680596
3.0,475622.84012936725,472670.5880723331,472770.53913201374,458299.2007385695,467958.3166471494
4.0,625486.1556975134,612426.5115209875,620770.6807382606,612080.6355029265,612503.8247619384
5.0,774390.4019272181,771000.2091605196,770203.0495305003,752990.3005968146,766269.296342229
