,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,680409.7278595382,667394.1309848679,663878.9373931418,680386.8628004938,675258.3908054401
1,576610.8796212642,563436.1690026594,558304.4374085065,566710.0845426852,567611.1591186132
2,421048.8401890475,411498.58250097994,415319.49453043315,414459.9150655392,415278.26957813586
3,304352.74151788594,322856.61770721665,284792.6894385249,282349.8203167792,283742.50017599674
4,135784.42102250888,119072.73491310127,124934.69798741443,119767.85823451733,120290.45657314733
