,TRM,Local_Ratio,RLS,UGA_RLS,TRHS
0,442190.0818897714,439273.2842355379,438503.47658100695,441133.0386712488,440904.410668472
1,349009.48141921574,345310.6510795437,343555.9248668352,343502.64936626976,346429.87581684696
2,258756.37952228906,251052.87833746994,250892.34586006793,250816.83414253156,253876.23604836175
3,204811.66370106293,198247.0317242939,201134.12399677432,199379.8632840964,200049.83837884836
4,83568.40399511805,75968.25566454987,78355.4092992764,77038.1733219684,78133.48665861819
